Station ,Opening Dates,Address,Coordinate ,Parking
UH-Downtown,1/1/2004,"6 N Main St, Houston, TX 77002",,FALSE
Preston Northbound,1/1/2004,"367 Main St, Houston, TX 77002",,FALSE
Preston Southbound,1/1/2004,"414 Main St, Houston, TX 77002",,FALSE
Central Station Main,2/18/2015,"714 Main St, Houston, TX 77002",,FALSE
Main Street Square Northbound,1/1/2004,"960 Main St, Houston, TX 77002",,FALSE
Main Street Square Southbound,1/1/2004,"1131 Main St, Houston, TX 77002",,FALSE
Bell Northbound,1/1/2004,"1453 Main St., Houston, TX 77002
",,FALSE
Bell Southbound,1/1/2004,"1523 Main St., Houston, TX 77002
",,FALSE
Downtown Transit Center Northbound,1/1/2004,"1840 Main St., Houston, TX 77002",,FALSE
Downtown Transit Center Southbound,1/1/2004," 1914 Main St., Houston, TX 77002",,FALSE
McGowen Northbound,1/1/2004,"2560 Main St., Houston, TX 77002",,FALSE
McGowen Southbound,1/1/2004," 2606 Main St., Houston, TX 77002",,FALSE
Ensemble / HCC Northbound,1/1/2004," 3509 Main St., Houston, TX 77002",,FALSE
Ensemble / HCC Southbound,1/1/2004,"3604 Main St., Houston, TX 77002",,FALSE
Wheeler,1/1/2004," 4590 Main St., Houston, TX 77002",,FALSE
Museum District Northbound,1/1/2004,"5640 San Jacinto St, Houston, TX 77004",,FALSE
Museum District  Southbound,1/1/2004," 5660 Fannin St., Houston, TX 77004",,FALSE
Hermann Park / Rice U,1/1/2004,"6050 Fannin St., Houston, TX 77030",,FALSE
Memorial Hermann Hospital /Houston Zoo Northbound,1/1/2004," 6413 Fannin St., Houston, TX 77030",,FALSE
Memorial Hermann Hospital /Houston Zoo Southbound,1/1/2004,"6407 Fannin St., Houston, TX 77030",,FALSE
Dryden/TMC Northbound,1/1/2004,"6607 Fannin St., Houston, TX 77021 ",,FALSE
Dryden/TMC Southbound,1/1/2004,"6614 Fannin St., Houston, TX 77030",,FALSE
TMC Transit Center,1/1/2004,"5640 San Jacinto St., Houston, TX 77004Will",,FALSE
Smith Lands,1/1/2004," 7834 Greenbriar Drive, Houston, TX 77054",,FALSE
Stadium Park / Astrodome,1/1/2004,"8168 Fannin St., Houston, TX 77054",,FALSE
Fannin South,1/1/2004,"1604 West Bellfort Ave., Houston, TX 77054",,TRUE
