"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-17230.0492227621,4404.82364181412,-3.91163202521905,9.17486791796584e-05
"2","construction",-0.113436241677094,0.00992055935806809,-11.4344602539815,2.96618615764968e-30
"3","TERP",-0.179848051900293,0.00648400530732903,-27.7371845604454,1.51413432607446e-168
"4","NAAQS",-0.0524540867493816,0.00836324416137454,-6.27197840183115,3.58267353788684e-10
"5","temp",0.0319061894102524,0.00114149398590466,27.9512549380327,4.09784128890333e-171
"6","lag_temp",238.165772251865,60.7202949362536,3.92234215103698,8.77640192525001e-05
"7","lag_temp_2",-1.23370964764845,0.313797604465864,-3.93154578011655,8.44710195537688e-05
"8","lag_temp_3",0.00283768540521282,0.000720539609764808,3.93827815536618,8.21365389626541e-05
"9","lag_temp_4",-2.44552826163181e-06,6.20253941185394e-07,-3.94278552580908,8.06078129387183e-05
"10","wind",-0.0970361953063489,0.00141692989446867,-68.4834131068538,0
"11","lag_wind",-0.202213954815662,0.0558898864720958,-3.61807775216401,0.000296978281199201
"12","lag_wind_2",0.0205076762093048,0.0201632699578168,1.01708087290447,0.3091179729024
"13","lag_wind_3",0.00272939711889842,0.00302475476250758,0.902353193300105,0.366871939436153
"14","lag_wind_4",-0.00040505676924311,0.000160256029464342,-2.52756024592035,0.0114876824622716
"15","humidity",-13.8198567397577,1.28658705171692,-10.7414859502242,6.77392591810914e-27
"16","lag_humidity",-186.552507777335,27.3273552222312,-6.82658479974571,8.75647496699208e-12
"17","lag_humidity_2",27375.412639685,3487.95967422715,7.84854619792897,4.25964215759498e-15
"18","lag_humidity_3",-1603055.59889912,186129.118559361,-8.61259974423542,7.26678819757144e-18
"19","lag_humidity_4",31713323.2968206,3535540.71140685,8.96986511695445,3.02966717282227e-19
"20","as.factor(month)2",0.00904877544956765,0.00698475623498998,1.2955033998521,0.195150292657692
"21","as.factor(month)3",-0.027843616194418,0.00774047052885888,-3.59714775614846,0.000321915652577295
"22","as.factor(month)4",-0.0261269698135196,0.00945389041114073,-2.76362097266653,0.00571767048477033
"23","as.factor(month)5",-0.0121364890241389,0.0114130391888831,-1.06338800938846,0.287609173787033
"24","as.factor(month)6",-0.202695219621085,0.0131720874620341,-15.3882382124559,2.33343135705574e-53
"25","as.factor(month)7",-0.175091989544557,0.0138252093914733,-12.6646898854599,1.00480449067885e-36
"26","as.factor(month)8",-0.209215532448156,0.0141169756892235,-14.8201383252268,1.25980082040137e-49
"27","as.factor(month)9",-0.15438821228815,0.0124676302135127,-12.3831241097301,3.46915195481845e-35
"28","as.factor(month)10",-0.186598635199788,0.0100668708021844,-18.5359123869253,1.5229737544563e-76
"29","as.factor(month)11",-0.085824325553392,0.00775566664307633,-11.066015276715,1.92126825551839e-28
"30","as.factor(month)12",-0.0543605949478401,0.00679012728921423,-8.00582855555434,1.20213338725543e-15
"31","as.factor(dow)2",0.0866299946929841,0.0051834599986269,16.7127738452563,1.34508003068638e-62
"32","as.factor(dow)3",0.106189584602909,0.00511858103179223,20.7459028084836,2.35569059185205e-95
"33","as.factor(dow)4",0.103263573867132,0.00512788656160466,20.137647864585,5.71930207635e-90
"34","as.factor(dow)5",0.0981151651616126,0.00512450614075935,19.1462674580919,1.57076575577151e-81
"35","as.factor(dow)6",0.125104533792308,0.00512231464735587,24.4234379192006,2.86209473294702e-131
"36","as.factor(dow)7",0.0554709637752914,0.00512502379101023,10.8235524433258,2.77869432203163e-27
"37","holidayTRUE",-0.102813704175956,0.00794387986918728,-12.9425049055374,2.82543621764229e-38
"38","t",-9.98936348124351e-06,4.67521130151357e-05,-0.213666566856765,0.830807618638401
"39","t2",7.33383520767264e-07,5.12654409431955e-08,14.3056122657735,2.29715761160037e-46
"40","t3",-3.97498812095485e-10,2.16735174787421e-11,-18.3402999760127,5.58646690664325e-75
"41","t4",5.86485730397605e-14,3.07217361356419e-15,19.0902534872432,4.57487927085481e-81
"42","MetroOpen:as.factor(PUMACE10)04602",-0.239473268832312,0.0131114929431867,-18.264378425094,2.23833439520821e-74
"43","MetroOpen:as.factor(PUMACE10)04603",-0.334203132944096,0.0131114929433687,-25.489327141279,9.40355853172185e-143
"44","MetroOpen:as.factor(PUMACE10)04604",-0.299503593050084,0.0134301126641626,-22.3008995188321,7.72404699825492e-110
