"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-17283.5688901055,4295.91939634314,-4.02325260218291,5.74495643068996e-05
"2","as.factor(city_num)2",-0.0694132354435471,0.0143900345312207,-4.82370179814006,1.41162024911031e-06
"3","as.factor(city_num)3",-0.0694132354471749,0.0143900345312029,-4.82370179839814,1.41162024728341e-06
"4","as.factor(city_num)4",-0.0694132354323179,0.0143900345312041,-4.82370179736528,1.41162025459492e-06
"5","as.factor(city_num)5",-0.0326598036800745,0.0143900345311957,-2.26961259955786,0.0232335964490543
"6","as.factor(city_num)6",-0.0326598036965095,0.014390034531216,-2.26961260069678,0.0232335963798879
"7","as.factor(city_num)7",0.000951600205723826,0.0143900345312042,0.0661291120365502,0.947275189318987
"8","as.factor(city_num)8",0.000951600198900116,0.0143900345311705,0.0661291115625078,0.947275189696391
"9","as.factor(city_num)9",0.000951600206528106,0.014390034531166,0.0661291120926173,0.94727518927435
"10","as.factor(city_num)10",0.00095160020707772,0.0143900345311522,0.0661291121308746,0.947275189243892
"11","as.factor(city_num)11",-0.0217975241576734,0.014390034531213,-1.51476524329341,0.129835590212873
"12","as.factor(city_num)12",-0.021797524154771,0.0143900345312065,-1.51476524309239,0.129835590263797
"13","as.factor(city_num)13",-0.0800779256177923,0.0143900345311828,-5.5648181694259,2.63215653368057e-08
"14","as.factor(city_num)14",-0.0800779256107159,0.0143900345311683,-5.56481816893974,2.632156541016e-08
"15","as.factor(city_num)15",-0.111542878415021,0.0143900345311901,-7.75139755038487,9.18903710321554e-15
"16","as.factor(city_num)16",-0.0985247736147025,0.0143900345312082,-6.84673642728433,7.60651428822774e-12
"17","as.factor(city_num)17",-0.0985247736128905,0.0143900345311716,-6.84673642717581,7.606514293992e-12
"18","as.factor(city_num)18",-0.0828209255849217,0.0143900345311727,-5.75543619478531,8.67148416407588e-09
"19","as.factor(city_num)19",-0.0852738493658262,0.0143900345311916,-5.92589609017185,3.11792952127075e-09
"20","as.factor(city_num)20",-0.0852738493661506,0.0143900345311727,-5.92589609020218,3.11792952069547e-09
"21","as.factor(city_num)21",-0.0958748012317708,0.0143900345311849,-6.66258312473115,2.70692220299368e-11
"22","as.factor(city_num)22",-0.095874801228051,0.014390034531193,-6.66258312446887,2.70692220782371e-11
"23","as.factor(city_num)23",-0.0985247736150141,0.0143900345311937,-6.84673642731288,7.60651428671141e-12
"24","as.factor(city_num)24",-0.170787469690516,0.0143900345311965,-11.8684544724519,1.83159500112895e-32
"25","as.factor(city_num)25",-0.209128756933619,0.0143900345311946,-14.5328877759307,8.56118224281153e-48
"26","as.factor(city_num)26",-0.224480059346288,0.0143900345311935,-15.5996887192786,8.71899974748905e-55
"27","construction",-0.111240804552664,0.00967528481029623,-11.4974191182759,1.43203577667706e-30
"28","TERP",-0.1783369011236,0.00632369564934252,-28.2013732179129,3.60179801862671e-174
"29","NAAQS",-0.0542562481789232,0.00815647245962674,-6.65192562685439,2.91031038383146e-11
"30","temp",0.031720976422689,0.00111327184568951,28.4934686397664,9.76811526867004e-178
"31","lag_temp",238.947744217686,59.2190548306507,4.03498071526146,5.46545779061838e-05
"32","lag_temp_2",-1.23795014883973,0.306039316242107,-4.04506899322828,5.23539356713471e-05
"33","lag_temp_3",0.00284783114536572,0.000702725088897826,4.05255368046179,5.07066735581191e-05
"34","lag_temp_4",-2.45457055846734e-06,6.04918869197986e-07,-4.057685556613,4.96057478315047e-05
"35","wind",-0.0969073947726957,0.00138189791444324,-70.1263051053517,0
"36","lag_wind",-0.200559399497997,0.0545080725821009,-3.67944397953003,0.000233887506931134
"37","lag_wind_2",0.0199807702497214,0.0196647560359602,1.01607008056359,0.309598912630019
"38","lag_wind_3",0.00278294664727226,0.00294997114048537,0.943380973826875,0.345488757457072
"39","lag_wind_4",-0.000406516247763267,0.000156293881364899,-2.60097352636712,0.00929757527485759
"40","humidity",-13.8663016187091,1.25477765022104,-11.0508037948129,2.27173305527261e-28
"41","lag_humidity",-183.756361895404,26.651717434031,-6.89472872996807,5.43431578172758e-12
"42","lag_humidity_2",27097.018556043,3401.72383645995,7.96567265855475,1.66349108854977e-15
"43","lag_humidity_3",-1592338.43051227,181527.287681891,-8.77189567941262,1.788534295498e-18
"44","lag_humidity_4",31564154.8236092,3448128.48617619,9.15399613156887,5.60391880019588e-20
"45","as.factor(month)2",0.0102552165652041,0.00681206607913421,1.50544877957313,0.132212458440073
"46","as.factor(month)3",-0.0262664983711591,0.00754909619491789,-3.47942292599767,0.000502746898168516
"47","as.factor(month)4",-0.0238721390298557,0.00922015372590398,-2.58912592344172,0.00962363235832236
"48","as.factor(month)5",-0.0095208691685745,0.0111308647844572,-0.855357544354432,0.39235565489566
"49","as.factor(month)6",-0.200020345919117,0.0128464225871659,-15.5701203632322,1.38306297833039e-54
"50","as.factor(month)7",-0.173171597669117,0.0134833968173951,-12.8433213094868,1.0167799586791e-37
"51","as.factor(month)8",-0.206638526453529,0.0137679495247422,-15.0086638596533,7.49021993660324e-51
"52","as.factor(month)9",-0.151224306684405,0.0121593822419806,-12.4368412535218,1.77085445007814e-35
"53","as.factor(month)10",-0.184489137741169,0.00981797887405673,-18.790948738815,1.29458620074435e-78
"54","as.factor(month)11",-0.084251881916987,0.00756391660340734,-11.1386582288644,8.51675481858243e-29
"55","as.factor(month)12",-0.0538141595037089,0.00662224911419757,-8.126266254215,4.48611237182824e-16
"56","as.factor(dow)2",0.0860025104838116,0.00505530484471057,17.0123292512809,8.52617717727634e-65
"57","as.factor(dow)3",0.105205244190933,0.00499202993597887,21.0746420875186,2.43211305508495e-98
"58","as.factor(dow)4",0.102308447497852,0.00500110539713552,20.4571668408451,8.69603285223332e-93
"59","as.factor(dow)5",0.0972611822219708,0.00499780855318305,19.4607658910876,3.6081573976096e-84
"60","as.factor(dow)6",0.124444569363754,0.00499567124255756,24.9104801580265,1.77810361635045e-136
"61","as.factor(dow)7",0.0551122762665899,0.0049983134055684,11.0261745902511,2.986837578043e-28
"62","holidayTRUE",-0.101869983741089,0.00774747647277437,-13.1487954947747,1.88994797118012e-39
"63","t",-1.96632704513747e-05,4.55962201846444e-05,-0.431247817730224,0.666289283926448
"64","t2",7.26178268284475e-07,4.99979612077368e-08,14.5241576004924,9.72163628623231e-48
"65","t3",-3.8966198378499e-10,2.11376644037233e-11,-18.4344862489326,9.77414458964903e-76
"66","t4",5.71817768973319e-14,2.99621761441924e-15,19.0846541393208,5.01215215082122e-81
"67","MetroOpen:as.factor(city_num)1",-0.337513912832516,0.0184032801276399,-18.3398780267222,5.5562592224372e-75
"68","MetroOpen:as.factor(city_num)2",-0.237920457190336,0.0184032801332801,-12.9281549521211,3.39302904447753e-38
"69","MetroOpen:as.factor(city_num)3",-0.237920457190077,0.018403280133282,-12.9281549521056,3.39302904515774e-38
"70","MetroOpen:as.factor(city_num)4",-0.237920457190313,0.01840328013328,-12.9281549521199,3.3930290445295e-38
"71","MetroOpen:as.factor(city_num)5",-0.27228352958895,0.0184032801332795,-14.7953803679034,1.80874877960071e-49
"72","MetroOpen:as.factor(city_num)6",-0.272283529588415,0.0184032801332827,-14.7953803678718,1.808748780449e-49
"73","MetroOpen:as.factor(city_num)7",-0.304112956413908,0.0184032801332811,-16.5249321974913,3.0269328957806e-61
"74","MetroOpen:as.factor(city_num)8",-0.304112956414237,0.018403280133279,-16.524932197511,3.02693289479101e-61
"75","MetroOpen:as.factor(city_num)9",-0.304112956414009,0.0184032801332807,-16.5249321974971,3.02693289548785e-61
"76","MetroOpen:as.factor(city_num)10",-0.304112956414043,0.0184032801332805,-16.5249321974992,3.02693289538533e-61
"77","MetroOpen:as.factor(city_num)11",-0.310126607519563,0.0184032801332786,-16.851702809151,1.29424987857785e-63
"78","MetroOpen:as.factor(city_num)12",-0.310126607519386,0.0184032801332795,-16.8517028091406,1.2942498788056e-63
"79","MetroOpen:as.factor(city_num)13",-0.303306696274582,0.0184032801332786,-16.4811215217071,6.23932753186075e-61
