"date","city_num","pm25"
"20131001.tif",1,NA
"20131001.tif",2,6.22797250747681
"20131001.tif",3,6.22797250747681
"20131001.tif",4,6.22797250747681
"20131001.tif",5,6.14579010009766
"20131001.tif",6,6.14579010009766
"20131001.tif",7,6.06360769271851
"20131001.tif",8,6.06360769271851
"20131001.tif",9,6.06360769271851
"20131001.tif",10,6.06360769271851
"20131001.tif",11,6.01327908039093
"20131001.tif",12,6.01327908039093
"20131001.tif",13,6.02238535881042
"20131001.tif",14,6.02238535881042
"20131001.tif",15,5.93621253967285
"20131001.tif",16,5.62832307815552
"20131001.tif",17,5.62832307815552
"20131001.tif",18,5.98680639266968
"20131001.tif",19,6.29404950141907
"20131001.tif",20,6.29404950141907
"20131001.tif",21,6.46498489379883
"20131001.tif",22,6.46498489379883
"20131001.tif",23,5.62832307815552
"20131001.tif",24,6.21761703491211
"20131001.tif",25,6.39463901519775
"20131001.tif",26,6.30736923217773
"20131002.tif",1,NA
"20131002.tif",2,7.15958023071289
"20131002.tif",3,7.15958023071289
"20131002.tif",4,7.15958023071289
"20131002.tif",5,7.05668187141418
"20131002.tif",6,7.05668187141418
"20131002.tif",7,6.95378351211548
"20131002.tif",8,6.95378351211548
"20131002.tif",9,6.95378351211548
"20131002.tif",10,6.95378351211548
"20131002.tif",11,6.89649474620819
"20131002.tif",12,6.89649474620819
"20131002.tif",13,6.81434035301208
"20131002.tif",14,6.81434035301208
"20131002.tif",15,6.635746717453
"20131002.tif",16,6.32553386688232
"20131002.tif",17,6.32553386688232
"20131002.tif",18,6.61073589324951
"20131002.tif",19,6.99542140960693
"20131002.tif",20,6.99542140960693
"20131002.tif",21,7.20555424690247
"20131002.tif",22,7.20555424690247
"20131002.tif",23,6.32553386688232
"20131002.tif",24,7.00162982940674
"20131002.tif",25,7.32940673828125
"20131002.tif",26,7.34274005889893
"20131003.tif",1,NA
"20131003.tif",2,7.90406084060669
"20131003.tif",3,7.90406084060669
"20131003.tif",4,7.90406084060669
"20131003.tif",5,7.86721444129944
"20131003.tif",6,7.86721444129944
"20131003.tif",7,7.83036804199219
"20131003.tif",8,7.83036804199219
"20131003.tif",9,7.83036804199219
"20131003.tif",10,7.83036804199219
"20131003.tif",11,7.73065710067749
"20131003.tif",12,7.73065710067749
"20131003.tif",13,7.61982536315918
"20131003.tif",14,7.61982536315918
"20131003.tif",15,7.40437650680542
"20131003.tif",16,7.08844232559204
"20131003.tif",17,7.08844232559204
"20131003.tif",18,7.22157526016235
"20131003.tif",19,7.48880958557129
"20131003.tif",20,7.48880958557129
"20131003.tif",21,7.70419573783875
"20131003.tif",22,7.70419573783875
"20131003.tif",23,7.08844232559204
"20131003.tif",24,7.42147397994995
"20131003.tif",25,7.44141149520874
"20131003.tif",26,7.29720163345337
"20131004.tif",1,NA
"20131004.tif",2,10.693883895874
"20131004.tif",3,10.693883895874
"20131004.tif",4,10.693883895874
"20131004.tif",5,10.677882194519
"20131004.tif",6,10.677882194519
"20131004.tif",7,10.6618804931641
"20131004.tif",8,10.6618804931641
"20131004.tif",9,10.6618804931641
"20131004.tif",10,10.6618804931641
"20131004.tif",11,10.5113768577576
"20131004.tif",12,10.5113768577576
"20131004.tif",13,10.3272995948792
"20131004.tif",14,10.3272995948792
"20131004.tif",15,10.2580757141113
"20131004.tif",16,9.59354305267334
"20131004.tif",17,9.59354305267334
"20131004.tif",18,9.5371265411377
"20131004.tif",19,9.67365884780884
"20131004.tif",20,9.67365884780884
"20131004.tif",21,9.95531749725342
"20131004.tif",22,9.95531749725342
"20131004.tif",23,9.59354305267334
"20131004.tif",24,9.50611019134521
"20131004.tif",25,9.63564491271973
"20131004.tif",26,9.53068733215332
"20131005.tif",1,NA
"20131005.tif",2,9.47979927062988
"20131005.tif",3,9.47979927062988
"20131005.tif",4,9.47979927062988
"20131005.tif",5,9.45749950408936
"20131005.tif",6,9.45749950408936
"20131005.tif",7,9.43519973754883
"20131005.tif",8,9.43519973754883
"20131005.tif",9,9.43519973754883
"20131005.tif",10,9.43519973754883
"20131005.tif",11,9.37393593788147
"20131005.tif",12,9.37393593788147
"20131005.tif",13,9.41914176940918
"20131005.tif",14,9.41914176940918
"20131005.tif",15,9.04715919494629
"20131005.tif",16,8.58619594573975
"20131005.tif",17,8.58619594573975
"20131005.tif",18,8.70006704330444
"20131005.tif",19,8.86140155792236
"20131005.tif",20,8.86140155792236
"20131005.tif",21,9.03864669799805
"20131005.tif",22,9.03864669799805
"20131005.tif",23,8.58619594573975
"20131005.tif",24,8.75364112854004
"20131005.tif",25,8.42746591567993
"20131005.tif",26,8.07791137695312
"20131006.tif",1,NA
"20131006.tif",2,4.86583852767944
"20131006.tif",3,4.86583852767944
"20131006.tif",4,4.86583852767944
"20131006.tif",5,5.00052523612976
"20131006.tif",6,5.00052523612976
"20131006.tif",7,5.13521194458008
"20131006.tif",8,5.13521194458008
"20131006.tif",9,5.13521194458008
"20131006.tif",10,5.13521194458008
"20131006.tif",11,5.18738794326782
"20131006.tif",12,5.18738794326782
"20131006.tif",13,5.42594051361084
"20131006.tif",14,5.42594051361084
"20131006.tif",15,5.27859783172607
"20131006.tif",16,5.15896463394165
"20131006.tif",17,5.15896463394165
"20131006.tif",18,5.31676816940308
"20131006.tif",19,5.46211528778076
"20131006.tif",20,5.46211528778076
"20131006.tif",21,5.66950583457947
"20131006.tif",22,5.66950583457947
"20131006.tif",23,5.15896463394165
"20131006.tif",24,5.67253541946411
"20131006.tif",25,5.68409442901611
"20131006.tif",26,5.70490217208862
"20131007.tif",1,NA
"20131007.tif",2,7.60864448547363
"20131007.tif",3,7.60864448547363
"20131007.tif",4,7.60864448547363
"20131007.tif",5,7.61564922332764
"20131007.tif",6,7.61564922332764
"20131007.tif",7,7.62265396118164
"20131007.tif",8,7.62265396118164
"20131007.tif",9,7.62265396118164
"20131007.tif",10,7.62265396118164
"20131007.tif",11,7.68121564388275
"20131007.tif",12,7.68121564388275
"20131007.tif",13,7.90056371688843
"20131007.tif",14,7.90056371688843
"20131007.tif",15,7.52516579627991
"20131007.tif",16,7.38437175750732
"20131007.tif",17,7.38437175750732
"20131007.tif",18,7.37315058708191
"20131007.tif",19,7.58578443527222
"20131007.tif",20,7.58578443527222
"20131007.tif",21,7.90591788291931
"20131007.tif",22,7.90591788291931
"20131007.tif",23,7.38437175750732
"20131007.tif",24,7.81672286987305
"20131007.tif",25,8.16760110855103
"20131007.tif",26,8.10819625854492
"20131008.tif",1,NA
"20131008.tif",2,10.1572160720825
"20131008.tif",3,10.1572160720825
"20131008.tif",4,10.1572160720825
"20131008.tif",5,10.1729412078857
"20131008.tif",6,10.1729412078857
"20131008.tif",7,10.188666343689
"20131008.tif",8,10.188666343689
"20131008.tif",9,10.188666343689
"20131008.tif",10,10.188666343689
"20131008.tif",11,10.2224462032318
"20131008.tif",12,10.2224462032318
"20131008.tif",13,10.5452980995178
"20131008.tif",14,10.5452980995178
"20131008.tif",15,10.2696714401245
"20131008.tif",16,10.0078992843628
"20131008.tif",17,10.0078992843628
"20131008.tif",18,10.0005445480347
"20131008.tif",19,10.0697603225708
"20131008.tif",20,10.0697603225708
"20131008.tif",21,10.3915042877197
"20131008.tif",22,10.3915042877197
"20131008.tif",23,10.0078992843628
"20131008.tif",24,10.8496046066284
"20131008.tif",25,11.4142546653748
"20131008.tif",26,11.1504926681519
"20131009.tif",1,NA
"20131009.tif",2,9.24500179290771
"20131009.tif",3,9.24500179290771
"20131009.tif",4,9.24500179290771
"20131009.tif",5,9.17891979217529
"20131009.tif",6,9.17891979217529
"20131009.tif",7,9.11283779144287
"20131009.tif",8,9.11283779144287
"20131009.tif",9,9.11283779144287
"20131009.tif",10,9.11283779144287
"20131009.tif",11,8.79146361351013
"20131009.tif",12,8.79146361351013
"20131009.tif",13,8.76913166046143
"20131009.tif",14,8.76913166046143
"20131009.tif",15,8.85136079788208
"20131009.tif",16,8.99514484405518
"20131009.tif",17,8.99514484405518
"20131009.tif",18,9.13549613952637
"20131009.tif",19,9.0421462059021
"20131009.tif",20,9.0421462059021
"20131009.tif",21,9.29451465606689
