"","name","label","concept"
"1","HCT001001","Total","URBAN AND RURAL"
"2","HCT001002","Total!!Urban","URBAN AND RURAL"
"3","HCT001003","Total!!Urban!!Inside urbanized areas","URBAN AND RURAL"
"4","HCT001004","Total!!Urban!!Inside urban clusters","URBAN AND RURAL"
"5","HCT001005","Total!!Rural","URBAN AND RURAL"
"6","HCT001006","Total!!Not defined for this file","URBAN AND RURAL"
"7","HCT002001","Total","TENURE"
"8","HCT002002","Total!!Owned with a mortgage or a loan","TENURE"
"9","HCT002003","Total!!Owned free and clear","TENURE"
"10","HCT002004","Total!!Renter occupied","TENURE"
"11","HCT003001","Total","TOTAL POPULATION IN OCCUPIED HOUSING UNITS"
"12","HCT004001","Total population in occupied housing units","TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE"
"13","HCT004002","Total population in occupied housing units!!Owned with a mortgage or a loan","TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE"
"14","HCT004003","Total population in occupied housing units!!Owned free and clear","TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE"
"15","HCT004004","Total population in occupied housing units!!Renter occupied","TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE"
"16","HCT005001","Average household size!!Total","AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE"
"17","HCT005002","Average household size!!Owner occupied","AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE"
"18","HCT005003","Average household size!!Renter occupied","AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE"
"19","HCT006001","Total","HOUSEHOLD SIZE"
"20","HCT006002","Total!!1-person household","HOUSEHOLD SIZE"
"21","HCT006003","Total!!2-person household","HOUSEHOLD SIZE"
"22","HCT006004","Total!!3-person household","HOUSEHOLD SIZE"
"23","HCT006005","Total!!4-person household","HOUSEHOLD SIZE"
"24","HCT006006","Total!!5-person household","HOUSEHOLD SIZE"
"25","HCT006007","Total!!6-person household","HOUSEHOLD SIZE"
"26","HCT006008","Total!!7-or-more-person household","HOUSEHOLD SIZE"
"27","HCT007001","Total","TENURE BY HOUSEHOLD SIZE"
"28","HCT007002","Total!!Owner occupied","TENURE BY HOUSEHOLD SIZE"
"29","HCT007003","Total!!Owner occupied!!1-person household","TENURE BY HOUSEHOLD SIZE"
"30","HCT007004","Total!!Owner occupied!!2-person household","TENURE BY HOUSEHOLD SIZE"
"31","HCT007005","Total!!Owner occupied!!3-person household","TENURE BY HOUSEHOLD SIZE"
"32","HCT007006","Total!!Owner occupied!!4-person household","TENURE BY HOUSEHOLD SIZE"
"33","HCT007007","Total!!Owner occupied!!5-person household","TENURE BY HOUSEHOLD SIZE"
"34","HCT007008","Total!!Owner occupied!!6-person household","TENURE BY HOUSEHOLD SIZE"
"35","HCT007009","Total!!Owner occupied!!7-or-more-person household","TENURE BY HOUSEHOLD SIZE"
"36","HCT007010","Total!!Renter occupied","TENURE BY HOUSEHOLD SIZE"
