Source: ACS 1-Year Estimates Public Use Microdata Sample 2005
Weight used: PWGTP
"Universe: selected geographies: PUMA 04601, Texas, PUMA 04602, Texas, PUMA 04603, Texas, PUMA 04604, Texas, PUMA 04605, Texas, PUMA 04606, Texas, PUMA 04608, Texas, PUMA 04607, Texas, PUMA 04609, Texas, PUMA 04610, Texas, PUMA 04611, Texas"
"","Transportation to work (JWTR)","","","","","","","","","","","","",""
"Selected Geographies","Total","Not in universe - missing","Car/truck/van","Bus or trolley bus","Streetcar or trolley car (carro publico in Puerto Rico)","Subway or elevated","Railroad","Ferry boat","Taxicab","Motorcycle","Bicycle","Walked","Worked At Home","Other"
" -> Total","1357622","752943","530048","30132","800","870","0","0","556","654","2555","11254","19250","8560"
"PUMA 04601, Texas","104633","58669","38980","3718","0","0","0","0","0","274","279","737","398","1578"
"PUMA 04602, Texas","132002","87256","38473","2949","91","0","0","0","0","0","58","639","1746","790"
"PUMA 04603, Texas","105471","48312","49577","3053","0","182","0","0","0","85","621","683","2428","530"
"PUMA 04604, Texas","128535","55413","63556","2673","0","0","0","0","115","0","113","2916","2599","1150"
"PUMA 04605, Texas","125679","68539","51545","2103","0","0","0","0","0","0","0","1312","1109","1071"
"PUMA 04606, Texas","130823","78718","45933","3554","0","124","0","0","0","81","180","218","1138","877"
"PUMA 04607, Texas","135981","69982","54006","4872","578","564","0","0","92","72","782","2236","2186","611"
"PUMA 04608, Texas","111265","72124","35725","1726","0","0","0","0","0","0","0","0","1474","216"
"PUMA 04609, Texas","127374","69494","52414","2918","0","0","0","0","0","0","190","686","1130","542"
"PUMA 04610, Texas","131054","66129","57271","1390","0","0","0","0","288","0","199","1518","3672","587"
"PUMA 04611, Texas","124805","78307","42568","1176","131","0","0","0","61","142","133","309","1370","608"
