Source: ACS 1-Year Estimates Public Use Microdata Sample 2008
Weight used: PWGTP
"Universe: selected geographies: PUMA 04601, Texas, PUMA 04602, Texas, PUMA 04603, Texas, PUMA 04604, Texas, PUMA 04605, Texas, PUMA 04606, Texas, PUMA 04607, Texas, PUMA 04608, Texas, PUMA 04609, Texas, PUMA 04610, Texas"
"","Transportation to work (JWTR)","","","","","","","","","","","","",""
"Selected Geographies","Total","Not in universe - missing","Car/truck/van","Bus or trolley bus","Streetcar or trolley car","Subway or elevated","Railroad","Ferry boat","Taxicab","Motorcycle","Bicycle","Walked","Worked At Home","Other"
" -> Total","1249172","643798","527783","29067","833","403","766","0","1371","751","3063","11839","21722","7776"
"PUMA 04601, Texas","112648","67062","38924","1943","0","139","111","0","163","61","308","998","1421","1518"
"PUMA 04602, Texas","127507","79056","42013","2547","91","0","0","0","0","0","0","1146","1744","910"
"PUMA 04603, Texas","112760","46314","54980","2472","0","0","0","0","0","203","464","2180","4979","1168"
"PUMA 04604, Texas","133066","55890","67483","3237","0","0","0","0","228","0","420","1785","3442","581"
"PUMA 04605, Texas","118612","60291","52500","2032","0","0","0","0","507","244","0","897","1795","346"
"PUMA 04606, Texas","125272","67972","51574","2954","196","0","0","0","0","0","0","581","1433","562"
"PUMA 04607, Texas","138337","67023","56284","5221","453","190","655","0","208","243","1702","2884","2433","1041"
"PUMA 04608, Texas","136420","78388","51250","3500","93","74","0","0","0","0","169","522","1210","1214"
"PUMA 04609, Texas","120190","57934","56968","3367","0","0","0","0","0","0","0","405","1330","186"
"PUMA 04610, Texas","124360","63868","55807","1794","0","0","0","0","265","0","0","441","1935","250"
