"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-17283.6418974878,4335.71713535646,-3.98633982750973,6.71564498228689e-05
"2","MetroOpen",-0.287366436184097,0.0127139035627351,-22.6025338926102,8.82424130316294e-113
"3","construction",-0.111240804528352,0.00976491741703821,-11.3918837996781,4.82635850893311e-30
"4","TERP",-0.178336901126968,0.00638227886787945,-27.9425115728642,4.86284342718453e-171
"5","NAAQS",-0.0542562483079179,0.00823203466773818,-6.59086732476375,4.39811494789026e-11
"6","temp",0.0317209763921158,0.00112358528425826,28.2319258150988,1.52988710841565e-174
"7","lag_temp",238.947727277629,59.7676648653828,3.99794316568702,6.39492613386969e-05
"8","lag_temp_2",-1.23795006128514,0.308874488812341,-4.00793884287824,6.13032073372527e-05
"9","lag_temp_3",0.00284783094432468,0.000709235190020233,4.01535482784411,5.94073977458904e-05
"10","lag_temp_4",-2.45457038542786e-06,6.10522885720111e-07,-4.02043959831694,5.81397659636225e-05
"11","wind",-0.0969073947800952,0.00139469992642981,-69.4826126707852,0
"12","lag_wind",-0.200559399421622,0.055013039693337,-3.64567020000375,0.000266854983189668
"13","lag_wind_2",0.0199807702063193,0.0198469318968775,1.0067435264119,0.314060908703907
"14","lag_wind_3",0.00278294665406439,0.00297729990730138,0.934721640651528,0.349934429794167
"15","lag_wind_4",-0.000406516248075485,0.000157741800288495,-2.57709907793626,0.00996501033922309
"16","humidity",-13.8663015977016,1.26640200999109,-10.9493679639685,6.9851983368768e-28
"17","lag_humidity",-183.756361461291,26.8986210594723,-6.83144169565456,8.46291666527735e-12
"18","lag_humidity_2",27097.0184367768,3433.23767598058,7.89255536438722,2.99570563076979e-15
"19","lag_humidity_3",-1592338.42087282,183208.970875038,-8.69137801095404,3.64294319201318e-18
"20","lag_humidity_4",31564154.5921179,3480072.22198073,9.06997113242458,1.21501639481521e-19
"21","as.factor(month)02",0.0102552165322854,0.00687517359998189,1.49163019422702,0.135799833591972
"22","as.factor(month)03",-0.0262664984588386,0.00761903162120446,-3.44748516146547,0.000566105520280029
"23","as.factor(month)04",-0.0238721387983695,0.00930556996237295,-2.56536019769842,0.010308576075296
"24","as.factor(month)05",-0.00952086846695553,0.0112339820004992,-0.8475061172906,0.396715467927047
"25","as.factor(month)06",-0.200020345260562,0.0129654328668244,-15.4272014914649,1.27065799087705e-53
"26","as.factor(month)07",-0.173171597117131,0.0136083080763521,-12.72543185718,4.61787446169005e-37
"27","as.factor(month)08",-0.206638525924451,0.013895496902748,-14.8708986350524,5.88747093024584e-50
"28","as.factor(month)09",-0.151224306015098,0.0122720277257095,-12.3226828846131,7.32442961038049e-35
"29","as.factor(month)10",-0.184489137325376,0.00990893341009654,-18.6184657510559,3.24632712657232e-77
"30","as.factor(month)11",-0.0842518819807328,0.00763398932717401,-11.0364160034687,2.66568854049063e-28
"31","as.factor(month)12",-0.0538141594611122,0.00668359815565231,-8.05167489245319,8.27164364550532e-16
"32","as.factor(dow)2",0.0860025104942676,0.00510213759008907,16.8561723347736,1.20015486694693e-63
"33","as.factor(dow)3",0.105205244172632,0.00503827649754525,20.8811970172518,1.39031406199123e-96
"34","as.factor(dow)4",0.102308447468065,0.00504743603447196,20.2693896008467,3.94204981366176e-91
"35","as.factor(dow)5",0.0972611821857057,0.00504410864829086,19.2821346579562,1.14114161376428e-82
"36","as.factor(dow)6",0.124444569369626,0.00504195153749684,24.6818257661018,4.99192629089137e-134
"37","as.factor(dow)7",0.0551122762583139,0.00504461817771366,10.9249648470505,9.13863516144338e-28
"38","holidayTRUE",-0.101869983681103,0.00781924970972516,-13.0281021150152,9.22671645096788e-39
"39","t",-1.96632705043227e-05,4.60186271877495e-05,-0.427289376193238,0.669169653451603
"40","t2",7.26178268426872e-07,5.04611462889744e-08,14.3908397218781,6.70942392029136e-47
"41","t3",-3.89661983838641e-10,2.13334854045831e-11,-18.2652752913468,2.17327579885479e-74
"42","t4",5.7181776902603e-14,3.0239748122316e-15,18.909475261272,1.39012701841828e-79
